"name","pname","version","patches","system","out","outputs","store_path","cpe","purl","urls","pname_meta","version_meta","meta_homepage","meta_unfree","meta_description","meta_license_short","meta_license_spdxid","meta_maintainers_email"
"libunistring-1.4.1","libunistring","1.4.1","","x86_64-linux","/nix/store/hjwppd89fk8781xl4r35xqlddwqi5f66-libunistring-1.4.1","['/nix/store/hjwppd89fk8781xl4r35xqlddwqi5f66-libunistring-1.4.1']","/nix/store/j800s5phgfn9jg7iyiys89qjcr5hxriz-libunistring-1.4.1.drv","cpe:2.3:a:libunistring:libunistring:1.4.1:*:*:*:*:*:*:*","pkg:nix/libunistring@1.4.1","","libunistring","1.4.1","https://www.gnu.org/software/libunistring/","False","Unicode string library","lgpl3Plus","LGPL-3.0-or-later",""
"libuv-1.51.0","libuv","1.51.0","","x86_64-linux","/nix/store/y4v5k2dj6ism3wslc8nh3xmr6b5qw4zm-libuv-1.51.0","['/nix/store/hz66ly95w3cz40m121v39nz9z5djyl5s-libuv-1.51.0-dev', '/nix/store/y4v5k2dj6ism3wslc8nh3xmr6b5qw4zm-libuv-1.51.0']","/nix/store/i7snpgr9wa7x8s8zwzjva1nwnpqmyz0g-libuv-1.51.0.drv","cpe:2.3:a:libuv:libuv:1.51.0:*:*:*:*:*:*:*","pkg:nix/libuv@1.51.0","","libuv","1.51.0","https://libuv.org/","False","Multi-platform support library with a focus on asynchronous I/O","mit;isc;bsd2;bsd3;cc-by-40","MIT;ISC;BSD-2-Clause;BSD-3-Clause;CC-BY-4.0",""
"ncurses-6.5","ncurses","6.5","/nix/store/wxgpyw9pj7dw8f5876ai4j964frnhiiy-1001-ncurses-Support-gnuabielfv1-2.patch","x86_64-linux","/nix/store/ffyzkisqs4vc4mg28bwwlyqjf8i9ph6b-ncurses-6.5","['/nix/store/ffyzkisqs4vc4mg28bwwlyqjf8i9ph6b-ncurses-6.5']","/nix/store/x2rhvljsyhk653af0rsxfag78p4zvn0a-ncurses-6.5.drv","cpe:2.3:a:ncurses:ncurses:6.5:*:*:*:*:*:*:*","pkg:nix/ncurses@6.5","","ncurses","6.5","https://www.gnu.org/software/ncurses/","False","Free software emulation of curses in SVR4 and more","mit","MIT",""
"node-app-1.0.0","node-app","1.0.0","","x86_64-linux","/nix/store/z7a25l5haabjk7r5d0xpjjzfyf69210l-node-app-1.0.0","['/nix/store/z7a25l5haabjk7r5d0xpjjzfyf69210l-node-app-1.0.0']","/nix/store/b9r82x24sc758rs29p79kh1khj6kmcdg-node-app-1.0.0.drv","cpe:2.3:a:node-app:node-app:1.0.0:*:*:*:*:*:*:*","pkg:nix/node-app@1.0.0","","","","","","","","",""
"node-app-env","node-app-env","","","x86_64-linux","/nix/store/wjcz4sgx061ifdf5idfl2l1s0h788l90-node-app-env","['/nix/store/wjcz4sgx061ifdf5idfl2l1s0h788l90-node-app-env']","/nix/store/21r62m50gzl66rfkm988g04s090aslly-node-app-env.drv","cpe:2.3:a:node-app-env:node-app-env::*:*:*:*:*:*:*","pkg:nix/node-app-env","","","","","","","","",""
"nodejs-22.22.2","nodejs","22.22.2","/nix/store/82m4lc89fl843b7vmqpqfdb8cs1b52vf-configure-emulator.patch /nix/store/j4p9lc7z8hi4g40cpqpj3qxb9a7bvanp-configure-armv6-vfpv2.patch /nix/store/igz0qnjkvwi4f2mn7i13h3ndxl9n5ryi-node-npm-build-npm-package-logic.patch /nix/store/57n0csr7hpdd0y91ljxpiwlfw7fsx3kl-use-correct-env-in-tests.patch /nix/store/p2mhv95s89kaqmdynhz6y6asalf8y4dh-bin-sh-node-run-v22.patch /nix/store/3za8p3x3hjfr1a9b1lc3z4aapp9sm2ja-use-nix-codesign.patch","x86_64-linux","/nix/store/qbj1w0y8ilv183jhdv2ws6dfhzph680p-nodejs-22.22.2","['/nix/store/qbj1w0y8ilv183jhdv2ws6dfhzph680p-nodejs-22.22.2']","/nix/store/ybb1lkslbynz4x7yb2a888gl15bir60h-nodejs-22.22.2.drv","cpe:2.3:a:nodejs:nodejs:22.22.2:*:*:*:*:*:*:*","pkg:nix/nodejs@22.22.2","","nodejs","22.22.2","https://nodejs.org","False","Event-driven I/O framework for the V8 JavaScript engine","mit","MIT","duhamelantoine1995@gmail.com"
"openssl-3.6.2","openssl","3.6.2","/nix/store/sq4h6bqjx12v9whvm65pjss25hg1538q-nix-ssl-cert-file.patch /nix/store/cklrwbwi889pp2fdsswdjvn12sdy5i5j-openssl-disable-kernel-detection.patch /nix/store/i58agvhx8bmdjlspgkk4m3ylh5348iim-use-etc-ssl-certs.patch","x86_64-linux","/nix/store/by19gg2pqp2b1gqphdf6bwk2g3hgak79-openssl-3.6.2","['/nix/store/3ffi89rlwcqww9x71pf95miyik5jhnv9-openssl-3.6.2-bin', '/nix/store/by19gg2pqp2b1gqphdf6bwk2g3hgak79-openssl-3.6.2', '/nix/store/cqkz127l4l98xgp7p6y1j2cqvyx0w3jl-openssl-3.6.2-dev']","/nix/store/q37afai02ianmgl9vcgk7qybb7krlkp3-openssl-3.6.2.drv","cpe:2.3:a:openssl:openssl:3.6.2:*:*:*:*:*:*:*","pkg:nix/openssl@3.6.2","","openssl","3.6.2","https://www.openssl.org/","False","Cryptographic library that implements the SSL and TLS protocols","asl20","Apache-2.0","theil.markus@gmail.com;ulrik.strid@outlook.com"
"readline-8.3p1","readline","8.3p1","/nix/store/bw6aa38615ww5karcn8kslsf5hxgz412-link-against-ncurses.patch /nix/store/0v7w62jca8nw6w31zs4y2805jj670f6p-no-arch_only-8.2.patch /nix/store/x8zb2br5nij14z3a8yki2yah25yd3pya-readline83-001","x86_64-linux","/nix/store/brb97wgi4lld4km09dy5cnklkjr48fdq-readline-8.3p1","['/nix/store/brb97wgi4lld4km09dy5cnklkjr48fdq-readline-8.3p1']","/nix/store/qf9msmd1a4vpcqh48ddpkhgxf5258zcl-readline-8.3p1.drv","cpe:2.3:a:gnu:readline:8.3p1:*:*:*:*:*:*:*","pkg:nix/readline@8.3p1","","readline","8.3p1","https://savannah.gnu.org/projects/readline/","False","Library for interactive line editing","gpl3Plus","GPL-3.0-or-later","w@wdtz.org"
"sqlite-3.50.4","sqlite","3.50.4","","x86_64-linux","/nix/store/p0070ky52z5qq0s7815dc93v1xh9bnd4-sqlite-3.50.4","['/nix/store/7cysvl3fn6h723h5hk7vykl7kwkwvpmn-sqlite-3.50.4-dev', '/nix/store/hfi7wfmjsap0l5jzjgphz4m76w3s9sm4-sqlite-3.50.4-bin', '/nix/store/p0070ky52z5qq0s7815dc93v1xh9bnd4-sqlite-3.50.4']","/nix/store/vlram0d6f0byn5bpzf3iaai70mz7d7vr-sqlite-3.50.4.drv","cpe:2.3:a:sqlite:sqlite:3.50.4:*:*:*:*:*:*:*","pkg:nix/sqlite@3.50.4","","sqlite","3.50.4","https://www.sqlite.org/","False","Self-contained, serverless, zero-configuration, transactional SQL database engine","publicDomain","","np.nix@nicolaspouillard.fr"
"xgcc-14.3.0","xgcc","14.3.0","/nix/store/9577hmdlmhki67cg8ar85cvidyg7xr7p-gcc-12-no-sys-dirs.patch /nix/store/7x6bimj6ipi6ag859gi2fc6by87x37j7-no-sys-dirs-riscv.patch /nix/store/xpplvxiwb4li2qd5nvhyd2mngrpna0ya-mangle-NIX_STORE-in-__FILE__.patch /nix/store/632b0y5mkcdwbsw2g3xh5qznw2vv5axr-ppc-musl.patch /nix/store/3cj8qm3xjz1g5f7qnnxlc95i9imkicbk-cfi_startproc-reorder-label-14-1.diff","x86_64-linux","/nix/store/nvv5arlnf72xkvpnmnw78ywgdnvx92q3-xgcc-14.3.0","['/nix/store/fv5lgysa3hmf3l3dkkpwvndcg6xwhy8m-xgcc-14.3.0-libgcc']","/nix/store/k3yfb24asq152abydbqg56mdzq9q4bqy-xgcc-14.3.0.drv","cpe:2.3:a:xgcc:xgcc:14.3.0:*:*:*:*:*:*:*","pkg:nix/xgcc@14.3.0","","","","","","","","",""
"zlib-1.3.2","zlib","1.3.2","","x86_64-linux","/nix/store/lf793zr9yfa0dpph8jlxbbdnvnahvq8b-zlib-1.3.2","['/nix/store/lf793zr9yfa0dpph8jlxbbdnvnahvq8b-zlib-1.3.2', '/nix/store/wkvc3p6ih0f7v7aqchj7lmn6j816sapf-zlib-1.3.2-dev']","/nix/store/h8hg2j62442an223yqr1dqsk1l5vmjv1-zlib-1.3.2.drv","cpe:2.3:a:zlib:zlib:1.3.2:*:*:*:*:*:*:*","pkg:nix/zlib@1.3.2","","zlib","1.3.2","https://zlib.net","False","Lossless data-compression library","zlib","Zlib",""
